Word i,Word i entity tag,Word i POS,Stopword
إن,O,verb_pseudo,yes
اللوكيميا,B,noun,no
أو,O,conj,yes
(,O,punc,no
ابيضاض,B,noun,no
الدم,I,noun,no
),O,punc,no
هو,O,pron,yes
سرطان,B,noun,no
خلايا,I,noun,no
الدم,I,noun,no
البيضاء,I,adj,no
",",O,punc,no
و,O,conj,no
خلايا,O,noun,no
الدم,O,noun,no
البيضاء,O,adj,no
تساعد,O,verb,no
الجسم,O,noun,no
على,O,prep,yes
محاربة,O,noun,no
العدوى,O,noun,no
.,O,punc,no
تتشكل,O,verb,no
خلايا,O,noun,no
الدم,O,noun,no
في,O,prep,yes
نقي,O,noun,no
العظام,O,noun,no
",",O,punc,no
أما,O,part_focus,yes
في,O,prep,yes
اللوكيميا,B,noun,no
ف,O,conj,yes
يقوم,O,verb,no
نقي,O,noun,no
العظام,O,noun,no
على,O,prep,yes
كل,O,noun_quant,yes
حال,O,noun,no
ب,O,prep,no
إنتاج,O,noun,no
خلايا,O,noun,no
دم,O,noun,no
بيضاء,O,adj,no
غير,O,noun,yes
طبيعية,O,adj,no
",",O,punc,no
ب,O,prep,no
حيث,O,adv_rel,yes
تتجمع,O,verb,no
تلك,O,pron_dem,yes
الخلايا,O,noun,no
حول,O,noun,no
خلايا,O,noun,no
الدم,O,noun,no
الصحيحة,O,adj,no
مما,O,prep,yes
يجعل,O,verb,no
من,O,prep,yes
الصعب,O,adj,no
أن,O,conj_sub,yes
تقوم,O,verb,no
هذه,O,pron_dem,yes
الخلايا,O,noun,no
ب,O,prep,no
عملها,O,noun,no
ب,O,prep,no
شكل,O,noun,yes
عادي,O,adj,no
.,O,punc,no
هناك,O,adv,yes
أنواع,O,noun,no
مختلفة,O,adj,no
من,O,prep,yes
اللوكيميا,B,noun,no
",",O,punc,no
و,O,conj,no
تتضمن,O,verb,no
هذه,O,pron_dem,yes
الأنواع,O,noun,no
:,O,punc,no
ابيضاض,B,noun,no
اللمفاويات,I,noun,no
الحاد,I,adj,no
الابيضاض,B,noun,no
النخاعي,I,noun,no
الحاد,I,adj,no
ابيضاض,B,noun,no
اللمفاويات,I,noun,no
المزمن,I,adj,no
الابيضاض,B,noun,no
النخاعي,I,noun,no
المزمن,I,adj,no
يمكن,O,verb,yes
ل,O,prep,no
اللوكيميا,B,noun,no
أن,O,conj_sub,yes
تتطور,O,verb,no
ب,O,prep,no
سرعة,O,noun,no
أو,O,conj,yes
ب,O,prep,no
بطء,O,noun,no
",",O,punc,no
ف,O,conj,yes
اللوكيميا,B,noun,no
المزمنة,I,adj,no
تتطور,O,verb,no
ب,O,prep,no
بطء,O,noun,no
",",O,punc,no
أما,O,part_focus,yes
في,O,prep,yes
اللوكيميا,B,noun,no
الحادة,I,adj,no
فتكون,O,verb,no
الخلايا,O,noun,no
شاذة,O,adj,no
جدا,O,noun,yes
عن,O,prep,yes
الوضع,O,noun,no
الطبيعي,O,adj,no
و,O,conj,no
تتزايد,O,verb,no
أعدادها,O,noun,no
ب,O,prep,no
سرعة,O,noun,no
كبيرة,O,adj,no
",",O,punc,no
و,O,conj,no
قد,O,part_verb,yes
